Hydration	C3S	C2S	C3A	C4AF	MK	CSHQ	Portlandite	Gypsum	Calcite	AFt	AFm	MC	HC	Stratlingite	C3AH6	Hydrotalcite	Fe-siliceous hy	aq_gen
1.5118834	10.430357	2.9784273	1.4496204	2.8873143	6.0498939	48.570028	0	0	3.0906607	15.942409	0	29.024152	0	0	0	1.0575109e-007	8.2628169	19.944321
1.5526682	10.34063	2.9417443	1.4293971	2.8697446	5.8492647	48.652163	0	0	3.010216	15.943614	0	29.479144	0	0	0	1.060917e-007	8.3480493	19.766033
1.5943925	10.258401	2.9048017	1.4101351	2.8529981	5.6553049	48.728398	0	0	2.9316048	15.944754	0	29.923815	0	0	0	1.064016e-007	8.4262351	19.593552
1.6354837	10.185926	2.8690801	1.3916463	2.8369016	5.4753462	48.796307	0	0	2.8576475	15.945794	0	30.342203	0	0	0	1.0667245e-007	8.4965903	19.432558
1.6776069	10.119495	2.8332205	1.373792	2.8213274	5.3020649	48.859726	0	0	2.7857483	15.946774	0	30.748988	0	0	0	1.0691798e-007	8.5617929	19.277071
1.7185017	10.06184	2.7992106	1.3564672	2.8061784	5.1444253	48.915502	0	0	2.7194027	15.947642	0	31.124402	0	0	0	1.0712855e-007	8.6206795	19.13425
1.7604225	10.009005	2.7652329	1.3395904	2.7913793	4.9933334	48.967842	0	0	2.6552735	15.948449	0	31.487317	0	0	0	1.0731881e-007	8.6758424	18.996735
1.8014037	9.9628527	2.7329367	1.3230976	2.7768704	4.8555439	49.01439	0	0	2.5960282	15.949172	0	31.822624	0	0	0	1.0748262e-007	8.7265051	18.869979
1.8432328	9.9207654	2.7009575	1.3069377	2.7626038	4.7246039	49.058009	0	0	2.5392631	15.949834	0	32.143935	0	0	0	1.0762968e-007	8.7743356	18.748755
1.8842288	9.8839232	2.6706192	1.2910695	2.7485406	4.6053546	49.096998	0	0	2.4869109	15.950424	0	32.440296	0	0	0	1.0775639e-007	8.8188513	18.637013
1.9258276	9.8505287	2.6408816	1.2754597	2.7346485	4.4930914	49.133376	0	0	2.4371954	15.950961	0	32.721762	0	0	0	1.0786951e-007	8.8611652	18.530929
1.9670797	9.8209633	2.6124564	1.2600811	2.7209011	4.3899994	49.166396	0	0	2.3910071	15.951446	0	32.983279	0	0	0	1.0796815e-007	8.9011641	18.432306
2.0086002	9.7943979	2.5849331	1.2449111	2.7072762	4.2940525	49.196933	0	0	2.3475851	15.951888	0	33.229153	0	0	0	1.0805552e-007	8.939371	18.339499
2.0499929	9.7707637	2.5585891	1.2299315	2.6937551	4.2057427	49.224839	0	0	2.3071497	15.952279	0	33.458145	0	0	0	1.0813224e-007	8.9758752	18.252931
2.0913152	9.7497053	2.533383	1.2151272	2.6803221	4.1244406	49.250377	0	0	2.269473	15.952629	0	33.671534	0	0	0	1.0819982e-007	9.010906	18.172102
2.1325798	9.7309355	2.5092988	1.2004857	2.6669638	4.0496475	49.27375	0	0	2.2343737	15.952947	0	33.870339	0	0	0	1.0825945e-007	9.0446439	18.096615
2.1740598	9.7141	2.4861753	1.185997	2.6536691	3.980474	49.295309	0	0	2.201513	15.953231	0	34.056483	0	0	0	1.0831249e-007	9.0772999	18.025749
2.2153731	9.6991409	2.4642141	1.1716526	2.6404282	3.9171536	49.315986	0	0	2.1864595	15.953427	0	34.141646	0	0.064926326	0	1.0834841e-007	9.1081847	17.96678
2.2569581	9.6857107	2.4431685	1.157446	2.627233	3.8586356	49.337743	0	0	2.2115324	15.953433	0	33.999246	0	0.29010435	0	1.0835337e-007	9.1364979	17.92925
2.2981979	9.6738313	2.4233268	1.1433718	2.6140766	3.8053975	49.357348	0	0	2.233916	15.953443	0	33.872111	0	0.49497849	0	1.0835804e-007	9.1642689	17.893931
2.3396502	9.6631796	2.404391	1.1294257	2.600953	3.7563372	49.37531	0	0	2.2541415	15.953451	0	33.757236	0	0.68361884	0	1.0836251e-007	9.1916087	17.860347
2.3802112	9.6538742	2.3868143	1.1156046	2.5878571	3.7123264	49.391112	0	0	2.2717521	15.953459	0	33.657214	0	0.85265899	0	1.0836671e-007	9.2184477	17.82888
2.4232459	9.6450786	2.3691642	1.1019059	2.5747848	3.6696157	49.406715	0	0	2.2886982	15.953467	0	33.560964	0	1.0165509	0	1.0837088e-007	9.2451295	17.797927
2.463893	9.6376796	2.3534059	1.0883279	2.5617324	3.6327453	49.4196	0	0	2.3026207	15.953469	0	33.481894	0	1.1578101	0	1.0837473e-007	9.2712534	17.769462
2.50515	9.6309745	2.3382855	1.0748695	2.5486968	3.5984935	49.431461	0	0	2.3151912	15.953477	0	33.410494	0	1.2888422	0	1.0837846e-007	9.2971136	17.742101
2.5465427	9.6249746	2.3239669	1.06153	2.5356754	3.5670828	49.442127	0	0	2.3262985	15.953481	0	33.347411	0	1.4088022	0	1.0838206e-007	9.3226944	17.715956
2.587711	9.619652	2.3105379	1.0483092	2.5226661	3.5385383	49.451523	0	0	2.3359325	15.953482	0	33.292699	0	1.517607	0	1.083855e-007	9.3479978	17.691055
2.6294096	9.6148456	2.2977262	1.0352071	2.5096672	3.5121408	49.460023	0	0	2.3444669	15.953487	0	33.244226	0	1.6180317	0	1.0838884e-007	9.3730908	17.667088
2.6711728	9.6105574	2.2856564	1.0222243	2.496677	3.4880274	49.467496	0	0	2.3518348	15.953492	0	33.202376	0	1.7095627	0	1.0839207e-007	9.397964	17.644132
2.7118072	9.6068355	2.2746106	1.0093612	2.4836944	3.4666117	49.473616	0	0	2.3578291	15.953495	0	33.168332	0	1.7906359	0	1.0839515e-007	9.4225823	17.622396
2.7535831	9.6034221	2.2639375	0.99661877	2.4707184	3.4465206	49.479209	0	0	2.3631586	15.953497	0	33.138065	0	1.8665203	0	1.0839815e-007	9.4470706	17.601262
2.7951846	9.600394	2.253963	0.98399803	2.4577482	3.4282889	49.483887	0	0	2.3675526	15.953499	0	33.113111	0	1.9351843	0	1.0840107e-007	9.4713823	17.580992
2.8363241	9.5977242	2.2447082	0.97150009	2.444783	3.4118525	49.487639	0	0	2.3710492	15.9535	0	33.093254	0	1.9968936	0	1.0840388e-007	9.4955245	17.561571
2.8779469	9.5953159	2.2359284	0.95912618	2.4318225	3.3966962	49.490775	0	0	2.3739145	15.953501	0	33.076983	0	2.0536236	0	1.0840659e-007	9.5195437	17.54277
2.9190781	9.5931942	2.2277984	0.9468776	2.4188662	3.3830487	49.493092	0	0	2.3760369	15.953502	0	33.064932	0	2.1045206	0	1.0840927e-007	9.5434209	17.524711
2.9604708	9.59129	2.2201344	0.9347557	2.4059138	3.3705331	49.494821	0	0	2.3776116	15.953501	0	33.055992	0	2.1510317	0	1.0841185e-007	9.56719	17.507225
3.0017337	9.5895973	2.2129825	0.92276185	2.392965	3.3591676	49.495914	0	0	2.3786324	15.953505	0	33.050191	0	2.1931024	0	1.0841437e-007	9.5908492	17.490331
3.0433623	9.5880752	2.2062327	0.91089747	2.3800197	3.3487267	49.496506	0	0	2.3792175	15.953501	0	33.046877	0	2.2315929	0	1.0841682e-007	9.61442	17.473933
3.0845763	9.5867319	2.1999841	0.89916393	2.3670778	3.3393153	49.496485	0	0	2.3793174	15.9535	0	33.046315	0	2.2661265	0	1.0841923e-007	9.6378929	17.45809
